lng,lat,hosname,level,precise,confidence
113.9283129435408,22.507526694392748,深圳市南山区慢性病防治院,医疗,1,70
113.92216140892704,22.49698116179422,深圳市南山区蛇口人民医院,医疗,1,70
113.92216140892704,22.49698116179422,深圳市南山区蛇口联合医院,医疗,1,70
114.35124209962596,22.68750525212626,深圳市坪山新区人民医院,医疗,1,70
114.3691333835745,22.74629617194961,深圳市坪山新区妇幼保健院,医疗,1,70
114.49440159696334,22.534116546918,深圳市大鹏新区南澳人民医院,医疗,1,70
114.48557002995469,22.594763055998747,深圳市大鹏新区妇幼保健院,医疗,1,70
114.4221439499829,22.63217124348115,深圳市大鹏新区葵涌人民医院,医疗,1,70
113.92106509501956,22.526106191658805,深圳市妇幼保健院,医疗,1,70
113.94761210599293,22.557017307194243,深圳市孙逸仙心血管医院,医疗,1,70
113.94761210599293,22.557017307194243,深圳市南山院区孙逸仙心血管医院,医疗,1,70
113.89934231419053,22.571941354707832,深圳市宝安区中医院,医疗,1,70
113.94106219838308,22.67831061323961,深圳市宝安区人民医院,医疗,1,70
113.87726759883618,22.561786061339888,深圳市宝安区妇幼保健院,医疗,1,70
113.90786884620518,22.578190151954992,深圳市宝安区慢性病防治院,医疗,1,70
113.84040059077648,22.77661997784206,深圳市宝安区松岗人民医院,医疗,1,70
